n_sp,uni_range_summary,Class,mn_tmp,lwr_tmp,upr_tmp,mn_tmax,lwr_tmax,upr_tmax,mn_tmin,lwr_tmin,upr_tmin,mn_p,lwr_p,upr_p
1,Abronia graminea,Reptilia,15.38839405,14.68684227,16.08994582,19.68910441,19.03161535,20.34659347,4.783322203,4.092984027,5.47366038,24.91744652,21.4784901,28.35640294
2,Abronia moreletii,Reptilia,20.81557066,19.93291397,21.69822735,24.81119378,23.94115631,25.68123125,11.79626873,10.74559209,12.84694538,27.65298507,17.70088714,37.60508301
3,Mesaspis moreletii,Reptilia,19.05972834,18.28717027,19.83228641,23.77234034,23.0427884,24.50189228,8.95994021,8.035184656,9.884695765,17.46775266,12.32299508,22.61251024
4,Gerrhonotus moreletii,Reptilia,22.36925081,21.30322053,23.43528109,25.75516052,24.76685584,26.7434652,14.02589753,12.78545148,15.26634359,87.06858975,62.9301037,111.2070758
5,Acanthodactylus pardalis,Reptilia,20.83801,20.50975039,21.1662696,18.34188867,17.86636928,18.81740807,7.459654748,6.965194721,7.954114775,34.34356665,29.60499046,39.08214285
6,Acanthosaura capra,Reptilia,21.85286125,21.59182642,22.11389609,22.24544447,21.90859408,22.58229485,14.55238132,14.25874227,14.84602036,18.33905675,14.9194177,21.7586958
7,Acanthosaura nataliae,Reptilia,24.32736015,23.90195992,24.75276039,24.3281748,23.82501797,24.83133163,17.03462336,16.49528013,17.57396659,35.9206348,26.26279232,45.57847728
9,Acrantophis dumerili,Reptilia,24.70359663,24.10630095,25.30089231,34.01306446,33.25457649,34.77155244,22.2573875,21.65445722,22.86031777,149.3381451,132.007247,166.6690432
10,Acrantophis madagascariensis,Reptilia,26.06296761,25.41140932,26.7145259,31.71035014,31.2051107,32.21558958,22.99157168,22.42486267,23.55828069,391.0585583,373.4005239,408.7165926
12,Acrochordus granulatus,Reptilia,27.43593481,27.09802666,27.77384295,31.39586941,31.05315579,31.73858303,23.55076337,23.12651385,23.97501289,222.2572251,181.1570352,263.3574149
14,Acrochordus javanicus,Reptilia,27.65778637,27.44773943,27.86783331,31.22687435,30.69963289,31.75411582,23.56437473,23.26306728,23.86568219,181.5125,157.2940417,205.7309583
20,Aeluroscalabotes felinus,Reptilia,26.89655272,26.62547503,27.16763041,29.70312513,29.45046587,29.95578438,22.50351187,22.19322884,22.8137949,356.034226,307.7293368,404.3391152
24,Agama aculeata,Reptilia,20.71240157,20.08635587,21.33844726,32.86515498,32.01423168,33.71607828,18.29479164,17.70400193,18.88558134,76.95147358,63.1236476,90.77929955
25,Agama distanti,Reptilia,19.09462857,18.94631754,19.2429396,29.27421904,29.1189072,29.42953087,17.21484351,17.0890911,17.34059592,118.0546875,114.380675,121.7287
