,Current_d,Future_d,delta_d,order
tmp_D.764,0.342653509,0.582971014,-0.240317506,1
tmp_D.139,0,0.222761824,-0.222761824,2
tmp_D.14,0.021683673,0.239057239,-0.217373566,3
tmp_D.334,0.068103718,0.282568807,-0.21446509,4
tmp_D.174,0.290511224,0.491568047,-0.201056823,5
tmp_D.277,0.033847472,0.232392894,-0.198545422,6
tmp_D.375,0.196666667,0.384974698,-0.188308032,7
tmp_D.463,0.011412268,0.195829556,-0.184417288,8
tmp_D.793,0,0.164434817,-0.164434817,9
tmp_D.314,1.11E-16,0.157831325,-0.157831325,10
tmp_D.471,0.048979592,0.205606186,-0.156626594,11
tmp_D.769,0.048195472,0.201987644,-0.153792173,12
tmp_D.404,0.030540329,0.165616384,-0.135076056,13
tmp_D.786,0.0101983,0.130962274,-0.120763973,14
tmp_D.317,0.136953243,0.255487585,-0.118534343,15
tmp_D.692,0.233036849,0.348147293,-0.115110444,16
tmp_D.215,0.186118159,0.298484848,-0.11236669,17
tmp_D.822,0.191314361,0.301086957,-0.109772596,18
tmp_D.518,0.115051903,0.219405321,-0.104353418,19
tmp_D.147,0.010928962,0.114005913,-0.103076951,20
tmp_D.191,0.119785213,0.222057954,-0.102272741,21
tmp_D.351,0.143955706,0.245715945,-0.101760239,22
tmp_D.192,0.099308611,0.199723566,-0.100414955,23
tmp_D.261,0.105624446,0.204465578,-0.098841131,24
tmp_D.706,0.357216177,0.454501452,-0.097285275,25
tmp_D.188,0.138888889,0.236053593,-0.097164704,26
tmp_D.771,0.383593299,0.478438377,-0.094845078,27
tmp_D.562,0.228498074,0.321831597,-0.093333523,28
tmp_D.564,0.068692756,0.160345789,-0.091653033,29
tmp_D.212,0.301024279,0.388059701,-0.087035422,30
tmp_D.385,-2.22E-16,0.086377934,-0.086377934,31
tmp_D.630,0.230946502,0.316636387,-0.085689885,32
tmp_D.763,0.338664596,0.423660534,-0.084995938,33
tmp_D.333,0.18262438,0.267387944,-0.084763564,34
tmp_D.653,0.120607572,0.203658905,-0.083051333,35
tmp_D.528,0.116312464,0.198960653,-0.082648189,36
tmp_D.621,0.231663853,0.314017895,-0.082354042,37
tmp_D.204,0.073373088,0.154989384,-0.081616296,38
tmp_D.511,0.126706587,0.208261986,-0.081555399,39
tmp_D.849,0.093023256,0.174573929,-0.081550673,40
tmp_D.639,0.263157895,0.344634945,-0.08147705,41
tmp_D.676,0.040092014,0.119795581,-0.079703566,42
tmp_D.120,0.014091595,0.093096234,-0.079004639,43
tmp_D.637,0.017362859,0.094467334,-0.077104475,44
tmp_D.789,0.236599254,0.31216787,-0.075568616,45
tmp_D.668,0.175923827,0.251332623,-0.075408796,46
tmp_D.458,0.411273792,0.483889611,-0.072615819,47
tmp_D.580,0.009396637,0.081708998,-0.072312361,48
tmp_D.160,0,0.069509044,-0.069509044,49
tmp_D.256,1.11E-16,0.069122572,-0.069122572,50
tmp_D.836,0.266219239,0.334885784,-0.068666545,51
tmp_D.633,0.222965833,0.289249023,-0.06628319,52
tmp_D.166,0.064002547,0.129741446,-0.065738899,53
tmp_D.663,0.163052209,0.227809838,-0.064757629,54
tmp_D.264,0.218405584,0.282695375,-0.064289791,55
tmp_D.229,0.202190066,0.265225525,-0.063035458,56
tmp_D.755,0.25339962,0.316211218,-0.062811599,57
tmp_D.426,0.14555654,0.208081297,-0.062524757,58
tmp_D.345,1.11E-16,0.062273853,-0.062273853,59
tmp_D.732,0.034460338,0.095985756,-0.061525418,60
tmp_D.233,0.082561078,0.143993473,-0.061432395,61
tmp_D.296,0.270523528,0.331386293,-0.060862765,62
tmp_D.810,0.254715147,0.314520267,-0.05980512,63
tmp_D.209,0.118675442,0.177652106,-0.058976664,64
tmp_D.34,0.283418554,0.342166141,-0.058747587,65
tmp_D.614,0.24821269,0.306744186,-0.058531496,66
tmp_D.597,0.228755826,0.286262204,-0.057506377,67
tmp_D.83,0.379511788,0.434481468,-0.05496968,68
tmp_D.788,0.440143655,0.49502721,-0.054883554,69
tmp_D.399,0.17705841,0.231586303,-0.054527894,70
tmp_D.461,0.005130711,0.059377101,-0.05424639,71
tmp_D.342,0.288118614,0.341732661,-0.053614048,72
tmp_D.189,0.082804233,0.134658742,-0.051854509,73
