,future_d,current_d,order 
tmp_D,0.204436795,0.196499846,601
tmp_D.1,0.08779723,0.077471717,348
tmp_D.10,0.024993934,0.025602083,198
tmp_D.100,0.099232822,0.095450281,380
tmp_D.101,0.095652174,0.091429455,369
tmp_D.102,0.342672414,0.331954974,760
tmp_D.103,0.236953456,0.234722222,658
tmp_D.104,0.000478698,0.000671592,89
tmp_D.105,0.032544379,0.03102735,216
tmp_D.106,0.017200087,0.018987342,176
tmp_D.107,0.111066958,0.107053942,409
tmp_D.108,0.451677516,0.466643975,831
tmp_D.109,1.11E-16,1.11E-16,73
tmp_D.11,0.120962352,0.115396204,435
tmp_D.110,0.091646569,0.084177708,359
tmp_D.111,0.10678337,0.100396301,394
tmp_D.112,0,0,10
tmp_D.113,0.33465949,0.322490381,754
tmp_D.114,0.000551167,0.001081666,92
tmp_D.115,0.090832396,0.081460674,354
tmp_D.116,0.442379846,0.454525862,826
tmp_D.117,0.00340068,0.005135387,118
tmp_D.118,0.221107544,0.217911074,635
tmp_D.119,0,0,11
tmp_D.12,0.435660888,0.442826321,824
tmp_D.120,0.087715517,0.076245211,347
tmp_D.121,0.234643735,0.232903865,654
tmp_D.122,0.113187736,0.108592219,415
tmp_D.123,0.009274194,0.009855951,144
tmp_D.124,0.107741787,0.105655414,400
tmp_D.125,0.095555556,0.090666667,367
tmp_D.126,0,0,12
tmp_D.127,0,0,13
tmp_D.128,0.120336311,0.115180467,434
tmp_D.129,1.11E-16,1.11E-16,74
tmp_D.13,0.238822246,0.240386941,661
tmp_D.130,0.001087548,0.001306848,97
tmp_D.131,0.000212857,0.000477327,85
tmp_D.132,0.101965602,0.096001807,382
tmp_D.133,0.473114908,0.494916555,838
tmp_D.134,0.332065304,0.322080292,752
tmp_D.135,0.553304904,0.560853008,849
tmp_D.136,0.157770569,0.151861624,513
tmp_D.137,0.095855581,0.091497626,370
tmp_D.138,0,0,14
tmp_D.139,0.240695882,0.24171889,664
tmp_D.14,0.091497626,0.083745275,358
tmp_D.140,0.029271613,0.028324698,206
tmp_D.141,0.276375672,0.268545455,703
tmp_D.142,0.102150538,0.096166931,383
tmp_D.143,0.323332762,0.315955434,748
tmp_D.144,0.498755703,0.517308948,844
tmp_D.145,0.120212766,0.114653784,433
tmp_D.146,0.262362381,0.262177961,689
tmp_D.147,0.127067553,0.120630372,448
tmp_D.148,0.32218845,0.313423645,745
tmp_D.149,0,0,15
tmp_D.15,0.154561488,0.147588491,505
tmp_D.150,0.36135634,0.354129264,781
tmp_D.151,0.028065894,0.027145662,203
tmp_D.152,0.253467241,0.253619303,678
tmp_D.153,0.133224579,0.126185102,459
tmp_D.154,0.013273228,0.013752914,159
tmp_D.155,0.222912353,0.221260318,639
tmp_D.156,0,0,16
tmp_D.157,0.215384615,0.207107843,620
tmp_D.158,0,0,17
tmp_D.159,0.005607896,0.007065473,128
tmp_D.16,0.210719194,0.203380282,611
tmp_D.160,0.043680839,0.046911791,254
tmp_D.161,0.04919854,0.0503003,273
tmp_D.162,0.157882729,0.151951287,514
tmp_D.163,0.046835195,0.048780488,263
tmp_D.164,0.015880893,0.017364203,169
tmp_D.165,0.143674177,0.137919463,479
tmp_D.166,0.143819792,0.137975667,480
tmp_D.167,0.40952381,0.41956185,813
tmp_D.168,0.116413374,0.111509502,422
tmp_D.169,0.024788392,0.025483871,197
tmp_D.17,0.28335736,0.274471137,710
tmp_D.170,0.12250185,0.117780528,440
tmp_D.171,0,0,18
tmp_D.172,0.001769129,0.00254842,103
tmp_D.173,0.188627984,0.177015573,569
tmp_D.174,0.517308948,0.544371332,847
tmp_D.175,0.187377691,0.173989455,565
tmp_D.176,0.106755388,0.099711578,393
tmp_D.177,0.002459847,0.003278689,109
tmp_D.178,0.153581662,0.146390253,501
